gvkey,conm,tic,sic,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
010064,STERLING COMMUNICATIONS INC,STER.3,4841,C,01,LU,72873,25882,12/14/1972,9/28/1973
010066,STERLING DRUG INC,STY.1,2834,P,01,LU,14592,22538,1/31/1962,3/31/1988
010066,STERLING DRUG INC,STY.1,2834,C,00X,LU,14592,22538,1/1/1950,1/30/1962
010067,STERLING ELECTRONICS,SEC.1,5065,C,01,LU,45882,21672,3/11/1968,1/30/1998
010068,STERLING EXTRUDER CORP,SLX.3,3559,P,01,LC,45735,24843,2/8/1968,3/24/1986
010069,STERLING OIL OF OKLAHOMA INC,4013B,8711,C,01,LU,72900,4197,11/8/1979,6/1/1983
010070,STERLING PIPE & SUPPLY CO,4042B,5051,C,01,LU,72902,3582,7/31/1981,4/28/1983
010071,STERLING SOFTWARE INC,SSW.1,7372,P,01,LU,65074,21673,5/12/1983,4/28/2000
010072,STERLING STORES CO,STRS.,5331,P,01,LC,72937,4296,12/14/1972,5/27/1983
010074,STERNCO INDUSTRIES INC-CL A,SRI.2,3944,P,01,LU,42868,24639,1/5/1966,5/31/1973
010075,STERNDENT CORP,SDT.1,3350,P,01,LU,42681,24629,11/22/1965,11/30/1981
010076,STERNER LIGHTING SYSTEMS,SLTG,3640,P,01,LU,72945,4143,12/14/1972,8/31/1989
010081,STEVCOKNIT INC,SKT.2,2250,P,01,LU,53276,25307,9/23/1971,11/13/1981
010082,STEVENS (J.P.) & CO,WPM1,2211,P,01,LU,23421,23210,1/31/1962,6/30/1988
010082,STEVENS (J.P.) & CO,WPM1,2211,C,00X,LU,23421,23210,11/1/1949,1/30/1962
010084,STEVIA INC,3STEVE,2090,C,01,LC,72953,6878,4/24/1984,5/16/1989
010085,STEWART & STEVENSON SERVICES,SVC.2,3711,P,01,LC,72961,4252,6/4/1976,5/31/2006
010086,STEWART INFORMATION SERVICES,STC,6361,P,01,LU,72980,4120,12/14/1972,E
010087,STEWART FOODS INC,STEW.,9995,C,01,LU,72988,4268,12/14/1972,6/21/1993
010088,STEWART-WARNER CORP,STX.1,3812,P,01,LU,14605,22539,1/31/1962,12/31/1987
010088,STEWART-WARNER CORP,STX.1,3812,C,00X,LU,14605,22539,1/1/1950,1/30/1962
010089,STOCKER & YALE INC,STKR.,3827,P,01,LU,73008,4282,9/14/1978,6/14/1989
010090,STOCKHOLDER SYSTEMS,SSIAA,7372,P,01,LU,73016,6825,2/2/1984,9/19/1990
010091,STOKELY VAN CAMP INC,OAT1,2086,P,01,LC,20407,22998,1/31/1962,8/12/1983
010091,STOKELY VAN CAMP INC,OAT1,2086,C,00X,LC,20407,22998,6/1/1950,1/30/1962
010092,STONE & WEBSTER INC,SWBIQ,8711,P,01,LU,18198,21675,1/31/1962,5/8/2000
010092,STONE & WEBSTER INC,SWBIQ,8711,C,00X,LU,18198,21675,1/1/1960,1/30/1962
010093,STONE CONTAINER CORP,STO.3,2631,P,01,LU,36978,21676,7/2/1962,11/30/1998
010095,STOP & SHOP COS,SHP.1,5411,P,04,LC,77123,24195,11/22/1991,7/24/1996
010095,STOP & SHOP COS,SHP.1,5411,P,01,LC,36986,24195,1/29/1982,6/22/1988
010095,STOP & SHOP COS,SHP.1,5411,C,04,LC,36986,24195,7/2/1962,1/28/1982
010096,PUBLIC STORAGE,PSA,6798,P,01,LC,64653,4289,1/30/1981,E
010096,PUBLIC STORAGE,PSA,6798,C,00X,LC,64653,4289,1/1/1981,1/29/1981
010097,STORAGE TECHNOLOGY CP,STK.1,3572,P,02,LU,58464,4254,12/14/1972,8/31/2005
010099,STORM DRILLING & MARINE INC,SDC.1,7370,P,01,LU,47909,24969,3/5/1969,11/29/1974
010100,STORY CHEMICAL CORP,SCHM.1,2844,P,01,LU,73032,4001,12/14/1972,10/29/1976
010103,STRATFORD OF TEXAS INC,STFD.,5190,P,01,LC,73067,4269,12/14/1972,12/31/1976
010106,STRATTON GROUP LTD,SGR.2,5331,P,01,LU,39060,24358,1/31/1966,8/31/1973
010107,STRATUS COMPUTER INC,SRA.3,3571,P,01,LU,73075,6328,8/26/1983,10/30/1998
010108,STRAWBRDGE &CLOTHIER  -SER A,STRWA,5311,C,01,LU,73083,4297,12/14/1972,7/15/1997
010109,STRIDE RITE CORP,SRR,3140,P,01,LU,27764,21678,1/31/1962,8/31/2007
010110,STRIKER INDUSTRIES INC,SKRI,2621,C,01,LU,73091,5262,1/5/1982,3/11/1999
010111,STROTHER DRUG CO,SDCO.,5122,P,01,LU,73104,4023,1/31/1973,10/14/1981
010112,STRUTHERS INDUSTRIES INC,SIIS,5160,C,01,LU,73112,4288,10/29/1979,6/4/1996
010114,STRUTHERS WELLS CORP,7187B,3443,P,01,LU,36994,21679,1/31/1966,4/30/1991
010115,STRYKER CORP,SYK,3842,P,01,LU,73139,4298,5/2/1979,E
010116,STUART HALL CO INC,STUH,2670,P,01,LU,73147,4303,4/8/1976,7/31/1992
010117,STUART MCGUIRE INC,SMCG.1,5961,P,01,LU,73163,6359,1/30/1981,10/31/1986
010117,STUART MCGUIRE INC,SMCG.1,5961,C,00X,LU,73163,6359,1/1/1974,1/29/1981
010119,STUARTS DEPARTMENT STORES,SRTDQ,5331,C,01,LU,73171,7081,6/13/1984,6/7/1995
010120,STUDEBAKER-WORTHINGTON INC,SKW,3560,C,01,LU,45380,24817,11/27/1967,10/31/1979
010121,NAVIENT CORP,NAVI,6111,P,04,LC,66325,6412,8/1/1992,4/30/2014
010121,NAVIENT CORP,NAVI,6111,J,01,LC,66325,6412,7/1/1992,7/31/1992
010121,NAVIENT CORP,NAVI,6111,P,01,LC,66325,6412,10/31/1983,6/30/1992
010121,NAVIENT CORP,NAVI,6111,P,04,LC,14601,54824,5/1/2014,E
010123,TUBBY'S INC,3TUBY,5140,C,01,LU,73198,6718,12/16/1983,5/5/1999
010124,STURM RUGER & CO INC,RGR,3480,P,01,LU,73219,4295,12/14/1972,E
010126,STYLEX HOMES INC,3SYLX,2452,C,00X,LU,73227,25886,12/31/1974,12/31/1979
010127,SUAVE SHOE CORP,3SVSH,3140,C,01,LU,50921,21680,7/23/1970,2/9/1995
010128,SUBARU OF AMERICA,SBRU,5010,P,01,LU,73235,3991,12/14/1972,9/28/1990
010129,SUBURBAN AIRLINES INC,SALI,4512,P,01,LU,73243,3776,5/12/1981,4/30/1986
010130,SUBURBAN BANCORP,SUBC.,6020,P,01,LC,73251,8400,1/1/1978,3/27/1986
010131,SUBURBAN PROPANE GAS CORP,SPG.1,5900,P,01,LU,27676,23495,1/31/1962,1/28/1983
010132,SUDBURY INC,SUDS,3320,C,01,LU,79673,7265,9/28/1993,1/31/1997
010134,SULCUS HOSPITALITY TECH CP,SUL,3571,P,01,LU,73294,7174,8/9/1984,3/31/1999
010135,SULLAIR CORP,SUL.1,3560,P,01,LU,62711,4310,12/14/1972,11/30/1984
010137,SUMITOMO MITSUI FINANCIAL GR,SMFG,6020,P,90,LC,12385,53564,11/1/2010,E
010138,SUMMA MEDICAL CORP,3SMDL,7373,C,01,LC,73323,3285,1/1/1981,12/13/1991
010140,SUMMER & CO  -CL A,SUMCA,6552,P,01,LU,73331,4311,1/31/1978,5/31/1985
010140,SUMMER & CO  -CL A,SUMCA,6552,C,00X,LU,73331,4311,1/1/1974,1/30/1978
010141,SUMMERS ELECTRIC CO,SUMR.1,5063,P,01,LU,73350,4314,12/14/1972,4/30/1979
010142,SUMMIT BANCORPORATION,SUBN,6020,P,01,LU,73358,4307,1/31/1983,3/29/1996
010142,SUMMIT BANCORPORATION,SUBN,6020,C,00X,LU,73358,4307,1/1/1983,1/30/1983
010143,SUMMIT ENERGY INC,SUM.1,1311,P,01,LC,61858,4312,1/30/1975,12/29/1983
010144,SUMMIT HEALTH LTD,3SUMH,8062,P,01,LU,73366,6449,10/4/1983,4/19/1994
010146,GRASSO CORP,GRSO.1,1311,C,02,LU,76924,10948,5/24/1991,10/31/1994
010147,SUMMIT ORGANIZATION INC,SMT.1,2300,P,01,LU,37014,24197,1/29/1965,7/31/1979
010147,SUMMIT ORGANIZATION INC,SMT.1,2300,C,00X,LU,37014,24197,7/1/1964,1/28/1965
010148,SUMMIT PETROLEUM CORP,3SMMP,1311,C,01,LU,73382,5125,8/11/1983,12/22/1983
010149,SUMMIT SYSTEMS INC,SLOT.,3990,P,01,LU,73430,4140,7/22/1980,10/29/1982
010150,SEQUA CORP  -CL A,SQA.A,3724,J,02,LC,72741,21597,1/12/1987,12/3/2007
010150,SEQUA CORP  -CL A,SQA.A,3724,C,01,LC,72733,21597,1/12/1987,12/3/2007
010150,SEQUA CORP  -CL A,SQA.A,3724,J,03,LC,18796,21597,1/1/1983,12/31/1986
010150,SEQUA CORP  -CL A,SQA.A,3724,C,01,LC,18796,21597,1/31/1962,12/31/1982
010150,SEQUA CORP  -CL A,SQA.A,3724,C,00X,LC,18796,21597,1/1/1950,1/30/1962
010151,SUN CITY INDUSTRIES,SNID,5140,P,01,LU,54981,21682,6/27/1972,1/16/1998
010152,SUN COAST INDS INC,SN.1,2821,P,02,LC,73438,86,4/19/1983,3/3/1998
010153,SUN ELECTRIC CORP,SE.2,3825,P,01,LU,48645,21684,7/1/1969,10/30/1992
010154,SUN EQUITIES CORP,SECC,6552,P,01,LU,73446,4036,1/30/1981,8/31/1989
010154,SUN EQUITIES CORP,SECC,6552,C,00X,LU,73446,4036,8/1/1980,1/29/1981
010156,SUNOCO INC,SUN.1,2911,P,01,LU,14656,21686,1/31/1962,E
010156,SUNOCO INC,SUN.1,2911,C,00X,LU,14656,21686,1/1/1950,1/30/1962
010158,SUN SAVINGS & LOAN-SAN DIEGO,SSL.1,6035,P,01,LC,66712,25768,7/11/1984,7/17/1986
010159,SUNAIR SERVICES CORP,SNR.1,0700,P,01,LU,37022,7457,1/31/1966,12/31/2009
010160,SUNBEAM CORP,AG1,3634,P,01,LU,24037,23252,1/31/1962,12/31/1981
010160,SUNBEAM CORP,AG1,3634,C,00X,LU,24037,23252,4/1/1950,1/30/1962
010161,SUNBELT EXPLORATION INC,3SUNX.,1311,C,01,LU,73462,4318,1/29/1982,10/5/1984
010161,SUNBELT EXPLORATION INC,3SUNX.,1311,C,00X,LU,73462,4318,6/3/1980,1/28/1982
010162,SUNDANCE OIL,SDN.1,1311,P,01,LU,59125,25622,7/21/1976,12/31/1984
010163,SUNDSTRAND CORP,SNS.2,3728,P,01,LU,26454,21688,1/31/1962,6/30/1999
010164,SUNERGY COMMUNITIES INC,SUNY.,5271,P,01,LC,67045,4319,6/12/1980,4/28/1983
010165,SUNGROUP INC,SGUP,4832,C,01,LU,73489,2996,1/31/1979,5/31/1990
010165,SUNGROUP INC,SGUP,4832,C,00X,LU,73489,2996,1/1/1974,1/30/1979
010166,SUNLAND INDUSTRIES INC,5004B,3433,C,99X,LU,92161,7231,1/1/1987,6/30/1987
010166,SUNLAND INDUSTRIES INC,5004B,3433,P,01,LU,92161,7231,11/5/1984,12/31/1986
010167,SUNLITE INC,3SNLTE,9995,C,01,LU,73497,335,1/31/1979,9/14/1994
010167,SUNLITE INC,3SNLTE,9995,C,00X,LU,73497,335,9/1/1973,1/30/1979
010170,SUNSET INDUSTRIES INC,SUNS.,5211,P,01,LU,73526,4316,8/31/1976,10/29/1982
010170,SUNSET INDUSTRIES INC,SUNS.,5211,C,00X,LU,73526,4316,1/1/1973,8/30/1976
010173,SUNSHINE-JR STORES,SJS,5412,P,01,LU,57963,4121,12/14/1972,7/31/1995
010174,SUNSHINE MINING & REFINING,SSMR,1044,P,01,LU,20693,21689,1/31/1962,7/13/2000
010174,SUNSHINE MINING & REFINING,SSMR,1044,C,00X,LU,20693,21689,1/1/1960,1/30/1962
010176,SUNWORLD INTL AIRWAYS,SUNAQ,4512,P,01,LU,92180,7618,6/28/1985,6/30/1988
010177,SUNF INC,7512B,2090,C,01,LU,73542,4315,7/31/1973,1/25/1991
010178,SUNSTATES CORP  -OLD,SUST.,1531,P,01,LU,56469,25519,7/31/1981,1/29/1985
010178,SUNSTATES CORP  -OLD,SUST.,1531,C,00X,LU,56469,25519,1/1/1980,7/30/1981
010179,SUNTEC SYSTEMS INC,3087B,3433,C,01,LU,73569,4317,1/31/1979,1/14/1983
010180,BOATMENS SUNWEST INC,8893A,6020,C,01,LU,73577,1799,8/3/1977,9/30/1992
010181,SUPER DOLLAR STORES INC,SDOL.,5331,P,01,LC,73585,4027,12/30/1977,6/23/1981
010181,SUPER DOLLAR STORES INC,SDOL.,5331,C,00X,LC,73585,4027,2/1/1973,12/29/1977
010182,SUPER FOOD SERVICES INC,SFS.,5141,C,01,LU,54471,21690,4/3/1972,11/29/1996
010184,SUPER SKY INTERNATIONAL INC,SSKY.,3444,P,01,LU,73606,5586,7/20/1982,10/30/1987
010185,SUNRISE MEDICAL INC,SMD.1,3842,P,01,LU,73614,6604,1/31/1984,12/29/2000
010186,SUNSTATES CORP/DE,3SUST,2511,C,01,LC,43967,20022,4/30/1988,7/23/1996
010187,SUNTRUST BANKS INC,STI.1,6020,P,01,LC,68144,21691,7/1/1985,12/31/2019
010187,SUNTRUST BANKS INC,STI.1,6020,P,01,LC,63343,4165,12/14/1972,6/28/1985
010188,SUPER RITE CORP,SUPR.1,5140,C,01,LU,76851,28871,9/24/1991,10/31/1995
010190,SUPERVALU INC,SVU,5141,P,01,LC,44951,21692,9/13/1967,10/31/2018
010191,SUPERCRETE LTD,SCT.3,3241,P,01,LU,37049,24200,11/30/1964,11/30/1978
010192,SUPERIOR CARE INC,SI.3,8082,C,99X,LC,63351,4324,5/31/1986,10/28/1986
010192,SUPERIOR CARE INC,SI.3,8082,P,01,LC,63351,4324,5/8/1979,5/30/1986
010193,SUPERIOR ELECTRIC CO,SUPE,3621,P,01,LC,73649,4322,12/14/1972,6/28/1989
010194,SUPERIOR FOODS INC,SUPF.,2013,P,01,LU,73665,4323,9/30/1981,11/30/1984
010195,SUPERIOR INDUSTRIES INTL,SUP,3714,C,01,LU,52396,21693,5/4/1971,E
010196,SUPERIOR MFG & INSTR CORP,SMIC.,3714,P,01,LU,73673,5671,11/2/1982,10/31/1984
010197,SUPERIOR OIL CO,SOC.3,1311,P,01,LU,21709,23095,1/31/1962,9/28/1984
010197,SUPERIOR OIL CO,SOC.3,1311,C,00X,LU,21709,23095,9/1/1949,1/30/1962
010198,SUPERIOR GROUP OF COS INC,SGC,2300,P,01,LU,47861,21694,3/3/1969,E
010199,SUPERMARKETS GEN HLDG  -CL A,5654C,5411,C,02,LC,37065,24202,10/1/1987,10/5/1987
010199,SUPERMARKETS GEN HLDG  -CL A,5654C,5411,P,02,LC,37065,24202,1/31/1966,9/30/1987
010199,SUPERMARKETS GEN HLDG  -CL A,5654C,5411,C,00X,LC,37065,24202,11/1/1965,1/30/1966
010200,SUPERTEX INC,SUPX,3674,P,01,LU,73681,6650,12/6/1983,4/30/2014
010202,SUPRADUR COS INC,SUPD,3272,C,01,LU,73700,4321,12/14/1972,2/22/1995
010203,SUPREMA INTERNATIONAL INC,SUPRE,5080,P,01,LU,73702,7105,7/31/1984,9/30/1986
010204,SUPREME EQUIP & SYSTEMS CORP,3SEQPE,2522,C,01,LU,73729,4050,12/14/1972,6/5/1992
010206,SUPRON ENERGY CORP,SUE,1311,P,01,LU,60724,4320,12/14/1972,4/30/1982
010207,SUPRONICS CORP,SU.1,2844,P,01,LU,37073,24203,12/31/1965,6/30/1976
010208,SURGICAL CARE AFFILIATES-OLD,SCA.2,8011,P,01,LU,73753,6786,1/17/1984,1/31/1996
010209,SURGICOT INC,SURC,3841,P,01,LU,73780,4361,1/31/1979,6/29/1979
010210,SURVEYOR INDUSTRIES INC,SVLR,1311,C,01,LU,73788,6926,1/31/1979,4/30/1985
010211,MERIDIAN MEDICAL TECH INC,MTEC.1,3841,P,01,LU,73796,4328,12/14/1972,1/31/2003
010212,SUSQUEHANNA CORP,SQN,3080,P,01,LU,45524,24826,1/31/1968,2/29/1988
010213,SUTRON CORP,STRN.1,3829,C,01,LU,73817,6554,11/4/1983,7/31/2015
010215,SWANK INC,SNKI,3100,P,02,LU,44345,9700,4/25/1967,5/24/2001
010216,SWANTON CORP,4240B,1221,P,01,LC,66720,4349,1/31/1979,3/22/1985
010218,SWEDLOW INC,SWED,3089,P,01,LU,73860,4336,12/14/1972,12/31/1986
010220,SWENSEN'S INC,SWEN,6794,P,01,LU,73868,6584,1/23/1984,8/31/1988
010221,SILVERBOW RESOURCES INC,SBOW,1311,P,02,LC,66739,4340,5/5/2017,E
010221,SILVERBOW RESOURCES INC,SBOW,1311,P,01,LC,66739,4340,7/24/1981,12/18/2015
010224,SWINGLINE INC,SWL.,3579,P,01,LU,28257,23531,1/31/1962,5/29/1970
010226,SWITCHCO INC,SXCO,3661,P,01,LU,73892,5089,1/29/1982,9/30/1991
010227,SYBRON CORP  -OLD,SYB.1,3843,C,00X,LC,27668,23493,1/1/1963,1/30/1963
010227,SYBRON CORP  -OLD,SYB.1,3843,P,01,LU,17822,22808,1/31/1963,2/28/1986
010228,SYCOR INC,SYC.1,3575,P,01,LU,59598,4354,12/14/1972,5/31/1978
010229,SYKES DATATRONICS INC,PSYC.1,7373,C,01,LU,73905,4356,1/31/1979,1/22/1987
010229,SYKES DATATRONICS INC,PSYC.1,7373,C,00X,LU,73905,4356,3/1/1973,1/30/1979
010230,STS LIQUIDATING CORP,3SYMKE,3825,C,01,LU,73913,5097,6/30/1981,4/14/1994
010231,SYMBION INC-OLD,SYMB.,3842,P,01,LU,73921,6181,7/15/1983,2/28/1992
010232,SYMBOL TECHNOLOGIES,SBL.2,3577,P,01,LU,73940,4148,6/4/1979,1/31/2007
010233,SYMBOLICS INC,SMBXQ,3577,C,02,LU,92217,7305,11/15/1984,3/18/1993
010235,TRINITY PLACE HOLDINGS INC,TPHS,6512,P,01,LC,65429,21695,12/21/2015,E
010235,TRINITY PLACE HOLDINGS INC,TPHS,6512,P,01,LC,65429,21695,2/28/2008,11/14/2011
010235,TRINITY PLACE HOLDINGS INC,TPHS,6512,P,01,LC,65429,21695,9/23/1983,1/13/2008
010236,ASCENT INDUSTRIES CO,ACNT,3317,P,01,LU,43334,21696,6/8/1966,E
010237,SYNBIOTICS CORP,SYNB.1,2835,P,01,LC,73956,6321,8/25/1983,5/29/2001
010238,SYNCOR INTL CORP/DE,SCOR.1,5122,P,01,LC,58625,3288,11/28/1980,12/31/2002
010240,SYNERGISTIC COMMUN GROUP INC,5265B,3944,P,01,LU,73999,3997,1/31/1979,4/30/1987
010242,SYNTECH INTERNATIONAL INC,IDWD,3578,C,01,LU,74019,4357,6/30/1981,6/17/1991
010242,SYNTECH INTERNATIONAL INC,IDWD,3578,C,00X,LU,74019,4357,6/2/1981,6/29/1981
010243,SYNTEX CORP,SYN.1,2834,P,01,LC,37102,21697,7/2/1962,10/28/1994
010244,SYNTHETECH INC,3NZYM,2860,P,01,LU,92225,7243,10/1/1984,10/12/2005
010245,SYNTREX INC,3STRX,7373,C,01,LU,74027,5341,3/30/1982,5/8/1991
010246,SYRACUSE SUPPLY CO,SYRA.,5082,P,01,LU,74043,4360,1/31/1978,2/28/1990
010246,SYRACUSE SUPPLY CO,SYRA.,5082,C,00X,LU,74043,4360,1/1/1974,1/30/1978
010247,SYSCO CORP,SYY,5140,P,01,LU,52038,21698,2/26/1971,E
010248,SYSCON CORP,SCON.,7373,P,01,LC,74051,5191,11/17/1981,1/6/1987
010250,SYSTEM INTEGRATORS,5856C,7373,P,01,LU,74070,6544,11/3/1983,2/28/1989
010251,SYSTEMATICS GENERAL CORP,SYSG,3571,P,01,LU,74078,4362,1/31/1979,9/30/1985
010252,SYSTEMS & COMPUTER TECH CORP,SCTC.,7372,P,01,LU,74086,5672,11/8/1982,2/27/2004
010253,SYSTEMS ASSOCIATES INC-DEL,SAIN,7373,P,01,LU,74107,5999,1/31/1984,12/31/1986
010254,NETCARE HEALTH  GROUP INC,3NCGHE,5122,C,01,LU,74115,5680,11/30/1982,4/3/1986
010254,NETCARE HEALTH  GROUP INC,3NCGHE,5122,C,00X,LU,74115,5680,11/23/1982,11/29/1982
010255,SYSTEM INDUSTRIES INC,SYI.1,3572,P,01,LC,74123,4363,9/5/1980,10/18/1993
010256,SYNTHEMED CORP,2974B,3845,C,99X,LU,74131,4174,5/29/1982,10/29/1982
010256,SYNTHEMED CORP,2974B,3845,P,01,LU,74131,4174,2/25/1981,5/28/1982
010257,SYSTEMATICS INC,SYST,7370,P,01,LU,74150,4364,8/12/1981,5/31/1990
010258,SYNCOM CORP,SYCP,5141,P,01,LU,74158,5774,1/19/1983,6/30/1986
010259,SYNERGETICS INTL INC,NSPT,3829,C,01,LU,74166,6418,11/30/1983,6/25/1990
010259,SYNERGETICS INTL INC,NSPT,3829,C,00X,LU,74166,6418,11/16/1983,11/29/1983
010260,SYNERGEX CORP -OLD,SNRG.1,5122,P,01,LC,74174,6461,10/5/1983,12/31/1984
010261,SYSTEMS ENGINEERING & MFG CP,SEM.1,3559,P,01,LU,62738,4043,8/30/1978,1/31/1989
010262,SYSTEMS ENGINEERING LABS,SYT.2,3571,P,01,LU,46375,24878,6/20/1968,12/31/1980
010263,SYSTEMS TECHNOLOGY ASSOC INC,STAI,3661,C,01,LC,92233,7478,3/27/1985,4/10/1989
010264,SYSTONETICS INC,6250B,7372,P,01,LC,74182,6865,2/17/1984,6/24/1988
010265,SYSTRON-DONNER CORP,SYS.2,3825,P,01,LU,39837,24412,11/19/1963,8/31/1979
010266,TBC CORP,TBCC,5531,P,01,LC,74203,6075,6/17/1983,11/30/2005
010268,T B S COMPUTER CENTERS CORP,TBSC,7370,P,01,LU,74211,25892,12/14/1972,1/31/1974
010269,T-BAR INC,TBR.2,3661,P,01,LU,62746,4382,3/29/1974,6/30/1987
010269,T-BAR INC,TBR.2,3661,C,00X,LU,62746,4382,1/1/1974,3/28/1974
010270,TCA CABLE TV INC,TCAT,4841,C,99X,LU,74230,5513,9/1/1999,9/30/1999
010270,TCA CABLE TV INC,TCAT,4841,P,01,LU,74230,5513,4/30/1982,8/31/1999
010271,TCBY ENTERPRISES INC,TBY.,2024,P,01,LU,76022,6953,5/31/1984,6/30/2000
010273,TCS ENTERPRISES INC,9370B,6163,C,01,LU,92241,7524,6/28/1985,4/28/1995
010274,TDA INDUSTRIES INC,3TDAS,5063,C,01,LU,74238,25893,12/14/1972,7/5/1973
010275,TDK CORPORATION,TTDKY,3670,P,90,LC,64362,4398,12/31/1979,4/24/2009
010276,TEC INC,TCK.1,3679,P,01,LC,59790,4403,12/14/1972,4/27/1989
010277,TECO ENERGY INC,TE,4931,P,01,LC,37161,21700,7/2/1962,6/30/2016
010278,TEL OFFSHORE TRUST,TELOZ,6792,P,01,LC,74246,4504,8/31/2001,12/31/2010
010278,TEL OFFSHORE TRUST,TELOZ,6792,P,01,LC,74246,4504,1/14/1983,10/21/1996
010279,EQUION CORP,5954C,3714,P,01,LU,87653,6885,2/25/1985,3/31/1989
010280,TGC INC-OLD,GIA.1,3944,C,01,LC,51035,25161,8/25/1970,7/20/1978
010281,T.G.I.F. TEXAS INC,TEXF,5812,P,01,LU,74289,6668,12/8/1983,6/30/1987
010282,TGI FRIDAY'S INC,TGI.1,5812,P,01,LU,65744,21701,12/8/1983,2/28/1990
010283,TIC INTERNATIONAL CORP,7437B,8742,P,02,LU,74297,4473,1/31/1979,3/12/1991
010283,TIC INTERNATIONAL CORP,7437B,8742,C,00X,LU,74297,4473,4/1/1973,1/30/1979
010284,TIE/COMMUNICATIONS INC,TIE.1,3661,P,02,LU,61866,4449,12/6/1979,12/29/1995
010286,TII NETWORK TECHNOLOGIES INC,TIII,3669,P,01,LU,62420,4452,2/9/1973,7/31/2012
010287,T.I.M.E. DC INC,5824B,9995,P,01,LU,74318,4481,12/14/1972,7/31/1987
010289,TLS CO,4564B,7374,P,01,LC,74326,6550,1/31/1984,12/26/1985
010290,TMA CO,TMA.1,3651,C,01,LU,37110,24205,1/29/1965,5/7/1970
010291,TMC INDUSTRIES LTD,2911B,3580,P,01,LU,74334,4480,1/31/1979,9/30/1981
010292,TNP ENTERPRISES INC,0223B,4911,P,01,LU,30728,21704,7/2/1962,4/28/2000
010293,TNR TECHNICAL INC,TNRK,3690,C,01,LU,74369,6951,3/26/1984,10/14/1987
010294,T.O.N.M. OIL & GAS EXPL CORP,TONM,1311,P,01,LU,74377,4512,1/31/1979,12/30/1983
010295,TPC COMMUNICATIONS INC,3TPCM,7819,C,01,LU,74385,4525,1/31/1979,9/19/1988
010296,KESTREL ENERGY INC,KSTR.1,1311,P,01,LU,74393,4526,1/31/1980,4/8/2003
010296,KESTREL ENERGY INC,KSTR.1,1311,C,00X,LU,74393,4526,1/2/1980,1/30/1980
010297,TRC COS INC,TRR,8711,P,01,LU,74406,4538,1/31/1979,6/30/2017
010298,TRE CORP,TRE.1,3728,P,01,LU,43983,24724,1/31/1968,1/30/1987
010299,TRP ENERGY SENSORS INC,4465B,3829,P,01,LU,74414,4566,1/29/1982,8/30/1985
010300,TR 3 INDUSTRIES INC,TRTI.,2842,P,01,LU,74422,4570,8/25/1980,8/31/1982
010301,TRW INC,TRW.1,3714,P,01,LU,18681,21705,1/31/1962,12/31/2002
010301,TRW INC,TRW.1,3714,C,00X,LU,18681,21705,1/1/1950,1/30/1962
010302,TSC CORP,TSCC.,8711,P,01,LU,74465,4118,4/19/1979,10/31/1985
010303,TSC INC,TTSC,8731,P,01,LC,74473,6015,5/31/1983,8/30/1985
010303,TSC INC,TTSC,8731,C,00X,LC,74473,6015,8/17/1981,5/30/1983
010304,TSI INC/MN,TSII,3823,P,01,LU,74481,4582,3/18/1980,5/31/2000
010305,TSR INC,TSRI,7371,P,01,LC,74500,4456,4/26/1978,E
010306,TMBR/SHARP DRILLING INC,TBDI,1381,C,01,LU,79873,12601,11/22/1993,2/27/2004
010307,TTS INC,TTSI.1,7370,C,01,LU,11633,9453,8/26/1987,9/19/1988
010308,TU INTERNATIONAL,4371B,5734,C,01,LU,74502,5683,1/31/1983,12/3/1984
010310,TVI CORP,TVINQ,7359,P,02,LC,74529,4599,8/24/2004,9/30/2009
010310,TVI CORP,TVINQ,7359,C,01,LC,74529,4599,7/20/1981,2/12/1989
010312,TAB PRODUCTS,TBP.1,2522,P,01,LU,60353,21708,12/14/1972,10/31/2002
010314,TACO BELL,TACO.1,5812,P,01,LU,74537,25894,12/14/1972,5/31/1978
010315,TACO CHARLEY INC,TACC,5812,P,01,LU,74545,5157,11/2/1981,2/28/1983
010316,TACO VILLA INC-OLD,TVLA.1,5812,P,01,LC,74553,6626,11/28/1983,5/30/1985
010317,MIAMI SUBS CORP,3SUBS,5812,P,01,LU,74561,5684,11/16/1982,3/2/1999
010318,TACOMA BOATBUILDING,TBBU,3730,C,03,LC,62439,4383,10/31/1980,12/5/1991
010320,TAFT BROADCASTING CO,TFB.,4833,P,01,LU,28548,23550,5/2/1962,10/30/1987
010321,BIOSOURCE INTERNATIONAL INC,BIOI.,2835,P,02,LU,74580,6053,6/13/1983,10/31/2005
010323,TALLEY INDUSTRIES INC,TAL.1,3312,P,01,LU,39466,21710,7/29/1966,2/27/1998
010324,TALLY CORP,TALY,3577,P,01,LC,74588,4372,12/14/1972,10/31/1979
010325,TAMAR ELECTRONICS INDS INC,TMR.1,3600,P,01,LU,47044,24918,10/29/1968,3/31/1971
010326,TAMBRANDS INC,TMB.1,2670,P,01,LU,66333,4524,12/14/1972,7/31/1997
010329,TANDEM COMPUTERS INC,TDM.,3571,P,01,LC,74617,4491,12/14/1977,8/29/1997
010330,TSL HOLDINGS INC,TSLHQ,3571,C,01,LC,74625,4390,2/11/1981,3/4/1993
